Date,USRECD,T10Y2Y,TEDRATE,BAA10Y,Target_1Q_ahead,Target_2Q_ahead,Target_3Q_ahead,BAA10Y_missing,T10Y2Y_missing,FEDFUNDS_missing,UNRATE_d1,INDPRO_lgyoy,CPIAUCSL_lgyoy,FEDFUNDS_d1
1986-01-01,0.0,0.7893333333333333,1.0120338983050847,2.4526666666666666,0.0,0.0,0.0,0,0,0,0.0,0.01082144095909321,0.030581533754113543,-0.2766666666666664
1986-04-01,0.0,0.62015625,0.8590476190476191,2.67265625,0.0,0.0,0.0,0,0,0,0.13333333333333286,0.004213891415126625,0.016646500299357214,-0.9066666666666681
1986-07-01,0.0,0.85578125,0.766984126984127,2.87703125,0.0,0.0,0.0,0,0,0,-0.20000000000000107,0.00956626549358841,0.016544495017096317,-0.7133333333333329
1986-10-01,0.0,0.988225806451613,0.8081967213114754,2.8280645161290323,0.0,0.0,0.0,0,0,0,-0.13333333333333286,0.015030634974228185,0.013365934095209475,0.0600000000000005
1987-01-01,0.0,0.8442622950819673,0.8477049180327869,2.466393442622951,0.0,0.0,0.0,0,0,0,-0.23333333333333428,0.022377709232853427,0.02017836871893497,-0.046666666666666856
1987-04-01,0.0,0.8926984126984128,1.500327868852459,2.0169841269841267,0.0,0.0,0.0,0,0,0,-0.33333333333333215,0.04599010957683447,0.036323969373409426,0.4299999999999997
1987-07-01,0.0,1.0296875,1.1885714285714284,2.0309375,0.0,0.0,0.0,0,0,0,-0.2666666666666666,0.060704203253613365,0.04078553077432989,0.19333333333333425
1987-10-01,0.0,1.1390322580645162,2.1101639344262293,2.2503225806451614,0.0,0.0,0.0,0,0,0,-0.16666666666666696,0.07299598612710945,0.04311267006526176,0.07333333333333325
1988-01-01,0.0,1.0593548387096776,1.241774193548387,2.329032258064516,0.0,0.0,0.0,0,0,0,-0.13333333333333286,0.0689494926866745,0.03888810429249734,-0.25333333333333297
1988-04-01,0.0,1.0355555555555556,1.271639344262295,2.07,0.0,0.0,0.0,0,0,0,-0.23333333333333428,0.0601051825091421,0.03902793332425869,0.4933333333333323
1988-07-01,0.0,0.6384375,1.4028571428571428,1.97515625,0.0,0.0,0.0,0,0,0,0.0,0.045165073614245266,0.040588595056014753,0.8266666666666671
1988-10-01,0.0,0.24786885245901638,1.2955,1.557049180327869,0.0,0.0,0.0,0,0,0,-0.13333333333333286,0.02871290053580733,0.04216213659101875,0.48666666666666725
1989-01-01,0.0,-0.2067213114754098,1.2835,1.4337704918032785,0.0,0.0,0.0,0,0,0,-0.13333333333333286,0.024046279728986875,0.04568539990088549,0.9733333333333327
1989-04-01,0.0,-0.18515625,1.3668253968253967,1.6043749999999999,0.0,0.0,0.0,0,0,0,0.033333333333333215,0.011549067538532576,0.05031464725353896,0.2833333333333332
1989-07-01,0.0,0.02158730158730159,1.0708064516129032,1.7792063492063492,0.0,0.0,0.0,0,0,0,0.0,0.0016645594592388235,0.04598511324182297,-0.6433333333333326
1989-10-01,0.0,0.055322580645161296,0.9732786885245901,1.905483870967742,0.0,0.0,1.0,0,0,0,0.13333333333333375,-0.0014575555677369678,0.045234522622602746,-0.47000000000000064
